,ROE,ROA,Margem Liquida,Margem Bruta,Divida Liquida,EBITDA,Divida_Liquida_EBITDA,Liquidez Corrente,PL/Ativos,Passivos/Ativos,Margem Ebit,Lucro Líquido,Dividendos Propostos (BPP),Dividendos a Pagar (BPP),Dividendos Pagos (DFC),Payout Contábil (%),Payout Caixa (%),FCL,Dividendos_Pagos_Total,Total_Acoes,VPA,LPA,Giro Ativos,Ticker_CVM,Ano,Dividendos_Pagos_T1,CNPJ,ticker
112,-5451.531,-22.39,-20.764,22.834,977885.0,-104465.0,-9.361,1.161,0.411,100.0,-29.877,-307957.0,0.0,0.0,0.0,-0.0,-0.0,-81298.0,1.0,0.0,0.0,0.0,107.829,11762,2012,0.0,50926955000142,VULC3
113,-94.914,-9.994,-9.548,20.811,773984.0,-8919.0,-86.779,1.096,10.53,100.0,-21.484,-126685.0,0.0,0.0,0.0,-0.0,-0.0,-383.0,0.0,0.0,0.0,0.0,104.677,11762,2013,0.0,50926955000142,VULC3
114,-119.317,-5.725,-5.745,27.138,689258.0,37908.0,18.182,1.224,4.798,100.0,-24.147,-72794.0,0.0,0.0,0.0,-0.0,-0.0,-75507.0,0.0,0.0,0.0,0.0,99.656,11762,2014,0.0,50926955000142,VULC3
115,-139.621,-4.035,-5.168,29.76,650766.0,37956.0,17.145,0.929,2.89,100.0,-25.83,-49920.0,0.0,0.0,0.0,-0.0,-0.0,-3565.0,0.0,0.0,0.0,0.0,78.073,11762,2015,0.0,50926955000142,VULC3
116,68.826,3.309,3.147,34.61,522174.0,118910.0,4.391,1.398,4.808,100.0,-24.126,35695.0,0.0,0.0,0.0,0.0,0.0,76961.0,0.0,0.0,0.0,0.0,105.15,11762,2016,754.0,50926955000142,VULC3
117,24.082,16.862,14.959,38.189,-5703.0,240693.0,-0.024,2.505,70.021,100.0,-19.133,188939.0,0.0,0.0,0.0,0.0,0.0,237115.0,754.0,0.0,0.0,0.0,112.727,11762,2017,0.0,50926955000142,VULC3
118,16.157,11.465,12.179,35.918,-8620.0,159780.0,-0.054,2.909,70.959,100.0,-23.125,152114.0,0.0,0.0,-87642.0,0.0,57.616,4699.0,0.0,0.0,0.0,0.0,94.135,11762,2018,0.0,50926955000142,VULC3
119,13.158,10.558,10.521,34.692,-19111.0,141764.0,-0.135,5.323,80.244,100.0,-24.268,143080.0,0.0,0.0,-22810.0,0.0,15.942,23733.0,0.0,0.0,0.0,0.0,100.356,11762,2019,0.0,50926955000142,VULC3
120,2.804,1.879,2.676,29.526,153077.0,36296.0,4.217,3.64,67.017,100.0,-26.448,31554.0,0.0,0.0,-22378.0,0.0,70.92,-157237.0,0.0,245756.0,4.579,0.128,70.224,11762,2020,86011.0,50926955000142,VULC3
121,23.135,15.729,16.808,35.316,246615.0,325667.0,0.757,2.625,67.99,100.0,-17.874,313839.0,0.0,0.0,-143617.0,0.0,45.761,6819.0,86011.0,245756.0,5.52,1.277,93.582,11762,2021,90930.0,50926955000142,VULC3
